Time,ProxyName,TxnID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,url,uri,q
Dec 01 2015 21:34:26,proxy-mpgw,84483,0,450,0,18,18,13,0,450,462,450,462,462,457,450,18,450,http://192.168.152.24:8082,/request5,?t=429
Dec 01 2015 21:34:28,proxy-mpgw,89186,0,246,0,14,14,9,0,246,259,246,259,259,254,246,14,246,http://192.168.152.24:8082,/request1,?t=229
Dec 01 2015 21:34:28,proxy-mpgw,89170,0,1887,0,13,13,7,0,1887,1900,1887,1900,1900,1896,1887,13,1887,http://192.168.152.24:8082,/request4,?t=1871
Dec 01 2015 21:34:28,proxy-mpgw,84515,0,1988,0,14,14,8,0,1988,2000,1988,2000,2001,1996,1988,14,1988,http://192.168.152.24:8082,/request1,?t=1971
Dec 01 2015 21:34:29,proxy-mpgw,89202,0,703,0,15,15,9,0,703,713,703,713,714,710,703,15,703,http://192.168.152.24:8082,/request4,?t=687
Dec 01 2015 21:34:29,proxy-mpgw,89282,0,13,0,0,0,0,0,13,13,13,13,14,0,13,0,13,http://192.168.152.24:8082,/request1,?t=10
Dec 01 2015 21:34:29,proxy-mpgw,89266,0,181,0,10,10,6,0,182,194,182,194,194,189,182,10,181,http://192.168.152.24:8082,/request1,?t=169
Dec 01 2015 21:34:29,proxy-mpgw,89218,0,873,0,14,14,8,0,873,886,873,886,886,881,873,14,873,http://192.168.152.24:8082,/request5,?t=856
Dec 01 2015 21:34:29,proxy-mpgw,89298,0,266,0,11,11,5,0,266,281,266,281,281,275,266,11,266,http://192.168.152.24:8082,/request5,?t=253
Dec 01 2015 21:34:29,proxy-mpgw,89330,0,64,0,14,14,8,0,64,77,64,77,77,71,64,14,64,http://192.168.152.24:8082,/request3,?t=47
Dec 01 2015 21:34:29,proxy-mpgw,84531,0,250,0,8,8,5,0,250,265,250,265,265,259,250,8,250,http://192.168.152.24:8082,/request3,?t=239
Dec 01 2015 21:34:29,proxy-mpgw,89234,0,956,0,8,8,5,0,956,970,956,970,971,965,956,8,956,http://192.168.152.24:8082,/request4,?t=946
Dec 01 2015 21:34:30,proxy-mpgw,89378,0,306,0,9,9,5,0,306,319,306,319,319,314,306,9,306,http://192.168.152.24:8082,/request4,?t=294
Dec 01 2015 21:34:30,proxy-mpgw,84579,0,520,0,11,11,6,0,520,528,520,528,528,524,520,11,520,http://192.168.152.24:8082,/request2,?t=508
Dec 01 2015 21:34:31,proxy-mpgw,84563,0,1101,0,9,9,5,0,1101,1119,1101,1119,1120,1110,1101,9,1101,http://192.168.152.24:8082,/request2,?t=1089
Dec 01 2015 21:34:31,proxy-mpgw,89314,0,1878,0,0,0,0,0,1878,1886,1878,1886,1886,1882,1878,0,1878,http://192.168.152.24:8082,/request1,?t=1876
Dec 01 2015 21:34:31,proxy-mpgw,89442,0,1453,0,13,13,7,0,1453,1465,1453,1465,1465,1460,1453,13,1453,http://192.168.152.24:8082,/request4,?t=1438
Dec 01 2015 21:34:32,proxy-mpgw,84675,0,766,0,11,11,7,0,766,780,766,780,780,775,766,11,766,http://192.168.152.24:8082,/request3,?t=752
Dec 01 2015 21:34:32,proxy-mpgw,89522,0,322,0,13,13,8,0,322,333,322,333,333,328,322,13,322,http://192.168.152.24:8082,/request4,?t=307
Dec 01 2015 21:34:32,proxy-mpgw,84707,0,442,0,15,15,10,0,442,456,442,456,457,451,442,15,442,http://192.168.152.24:8082,/request2,?t=426
Dec 01 2015 21:34:33,proxy-mpgw,84659,0,1936,0,14,14,9,0,1936,1948,1936,1948,1948,1943,1936,14,1936,http://192.168.152.24:8082,/request2,?t=1920
Dec 01 2015 21:34:34,proxy-mpgw,84723,0,1843,0,13,13,8,0,1843,1856,1843,1856,1856,1850,1843,13,1843,http://192.168.152.24:8082,/request5,?t=1827
Dec 01 2015 21:34:34,proxy-mpgw,89602,0,1422,0,13,13,8,0,1422,1435,1422,1435,1435,1428,1422,13,1422,http://192.168.152.24:8082,/request5,?t=1407
Dec 01 2015 21:34:35,proxy-mpgw,84883,0,995,0,15,15,10,0,995,1008,995,1008,1008,1002,995,15,995,http://192.168.152.24:8082,/request5,?t=977
Dec 01 2015 21:34:37,proxy-mpgw,89682,0,1646,0,16,16,10,0,1646,1659,1646,1659,1659,1654,1646,16,1646,http://192.168.152.24:8082,/request5,?t=1629
Dec 01 2015 22:28:10,proxy-mpgw,90114,1,420,1,28,28,24,0,420,428,420,428,428,425,420,28,420,http://192.168.152.24:8082,/request1,?t=380
Dec 01 2015 22:28:11,proxy-mpgw,85027,0,210,0,9,9,6,0,210,220,210,220,220,214,210,9,210,http://192.168.152.24:8082,/request5,?t=197
Dec 01 2015 22:28:12,proxy-mpgw,90178,0,1945,0,11,11,6,0,1945,1956,1945,1956,1956,1950,1945,11,1945,http://192.168.152.24:8082,/request3,?t=1930
Dec 01 2015 22:28:13,proxy-mpgw,85075,0,11,0,0,0,0,0,11,11,11,11,12,0,11,0,11,http://192.168.152.24:8082,/request4,?t=8
Dec 01 2015 22:28:13,proxy-mpgw,90194,0,1765,0,10,10,5,0,1765,1775,1765,1775,1776,1770,1765,10,1765,http://192.168.152.24:8082,/request3,?t=1755
Dec 01 2015 22:28:13,proxy-mpgw,85091,0,293,0,0,0,0,0,293,293,293,293,293,0,293,0,293,http://192.168.152.24:8082,/request3,?t=291
Dec 01 2015 22:28:13,proxy-mpgw,85043,0,1598,0,10,10,5,0,1598,1610,1598,1610,1610,1604,1598,10,1598,http://192.168.152.24:8082,/request1,?t=1586
Dec 01 2015 22:28:13,proxy-mpgw,90210,0,364,0,8,8,4,0,364,373,365,373,374,370,365,8,364,http://192.168.152.24:8082,/request4,?t=353
Dec 01 2015 22:28:13,proxy-mpgw,90258,0,96,0,12,12,7,0,96,106,96,106,107,102,96,12,96,http://192.168.152.24:8082,/request1,?t=82
Dec 01 2015 22:28:14,proxy-mpgw,85059,0,1400,0,9,9,4,0,1400,1409,1400,1409,1409,1405,1400,9,1400,http://192.168.152.24:8082,/request2,?t=1389
Dec 01 2015 22:28:14,proxy-mpgw,90402,0,79,0,0,0,0,0,79,90,79,90,90,85,79,0,79,http://192.168.152.24:8082,/request5,?t=75
Dec 01 2015 22:28:14,proxy-mpgw,85107,0,654,0,0,0,0,0,654,655,654,655,655,0,654,0,654,http://192.168.152.24:8082,/request1,?t=653
Dec 01 2015 22:28:14,proxy-mpgw,90498,0,211,0,0,0,0,0,211,212,211,212,212,0,212,0,211,http://192.168.152.24:8082,/request1,?t=209
Dec 01 2015 22:28:15,proxy-mpgw,90514,0,601,0,0,0,0,0,601,601,601,601,601,0,601,0,601,http://192.168.152.24:8082,/request3,?t=598
Dec 01 2015 22:28:15,proxy-mpgw,90306,0,1540,0,8,8,5,0,1540,1550,1540,1550,1551,1546,1540,8,1540,http://192.168.152.24:8082,/request3,?t=1530
Dec 01 2015 22:28:15,proxy-mpgw,85155,0,1490,0,9,9,5,0,1490,1499,1490,1499,1500,1495,1490,9,1490,http://192.168.152.24:8082,/request1,?t=1480
Dec 01 2015 22:28:15,proxy-mpgw,90578,0,145,0,12,12,5,0,145,156,145,156,156,151,145,12,145,http://192.168.152.24:8082,/request3,?t=131
Dec 01 2015 22:28:16,proxy-mpgw,90482,0,1733,0,0,0,0,0,1733,1734,1733,1734,1734,0,1734,0,1733,http://192.168.152.24:8082,/request1,?t=1731
Dec 01 2015 22:28:16,proxy-mpgw,90434,0,1952,0,11,11,6,0,1952,1963,1952,1963,1963,1958,1952,11,1952,http://192.168.152.24:8082,/request3,?t=1939
Dec 01 2015 22:28:16,proxy-mpgw,85347,0,404,0,0,0,0,0,404,404,404,404,404,0,404,0,404,http://192.168.152.24:8082,/request3,?t=401
Dec 01 2015 22:28:17,proxy-mpgw,90562,0,1502,0,9,9,5,0,1502,1512,1502,1512,1512,1508,1502,9,1502,http://192.168.152.24:8082,/request1,?t=1491
Dec 01 2015 22:28:17,proxy-mpgw,85315,0,1266,0,13,13,7,0,1266,1278,1266,1278,1278,1273,1266,13,1266,http://192.168.152.24:8082,/request3,?t=1252
Dec 01 2015 22:28:17,proxy-mpgw,85379,0,1228,0,0,0,0,0,1228,1239,1228,1239,1240,1235,1228,0,1228,http://192.168.152.24:8082,/request3,?t=1228
Dec 01 2015 22:28:18,proxy-mpgw,90690,0,1733,0,8,8,4,0,1733,1743,1733,1743,1744,1739,1733,8,1733,http://192.168.152.24:8082,/request4,?t=1723
Dec 01 2015 22:28:19,proxy-mpgw,90802,0,1585,0,11,11,6,0,1585,1596,1585,1596,1597,1592,1585,11,1585,http://192.168.152.24:8082,/request2,?t=1573
Dec 01 2015 22:37:37,proxy-mpgw,85651,1,1897,1,23,23,13,0,1898,1914,1898,1914,1914,1908,1898,23,1897,http://192.168.152.24:8082,/request1,?t=1861
Dec 01 2015 22:37:38,proxy-mpgw,91138,0,465,0,14,14,8,0,465,478,465,478,479,473,465,14,465,http://192.168.152.24:8082,/request5,?t=446
Dec 01 2015 22:37:38,proxy-mpgw,85715,0,1550,0,16,16,11,0,1550,1564,1550,1564,1564,1558,1550,16,1550,http://192.168.152.24:8082,/request3,?t=1529
Dec 01 2015 22:37:38,proxy-mpgw,85811,0,167,0,16,16,10,0,167,180,167,180,180,176,167,16,167,http://192.168.152.24:8082,/request5,?t=148
Dec 01 2015 22:37:38,proxy-mpgw,85843,0,453,0,14,14,9,0,453,468,453,468,468,462,453,14,453,http://192.168.152.24:8082,/request2,?t=436
Dec 01 2015 22:37:38,proxy-mpgw,85891,0,349,0,15,15,11,0,349,363,349,363,363,358,349,15,349,http://192.168.152.24:8082,/request4,?t=332
Dec 01 2015 22:37:39,proxy-mpgw,86035,0,411,0,14,14,9,0,411,426,411,426,427,421,411,14,411,http://192.168.152.24:8082,/request4,?t=394
Dec 01 2015 22:37:39,proxy-mpgw,91170,0,1874,0,9,9,5,0,1874,1889,1874,1889,1890,1882,1874,9,1874,http://192.168.152.24:8082,/request2,?t=1862
Dec 01 2015 22:37:39,proxy-mpgw,85939,0,1291,0,0,0,0,0,1292,1292,1292,1292,1292,0,1292,0,1291,http://192.168.152.24:8082,/request2,?t=1288
Dec 01 2015 22:37:40,proxy-mpgw,86195,0,426,0,0,0,0,0,426,426,426,426,426,0,426,0,426,http://192.168.152.24:8082,/request2,?t=423
Dec 01 2015 22:37:40,proxy-mpgw,86003,0,1230,0,10,10,6,0,1230,1244,1230,1244,1245,1239,1230,10,1230,http://192.168.152.24:8082,/request3,?t=1218
Dec 01 2015 22:37:40,proxy-mpgw,91442,0,256,0,0,0,0,0,256,257,256,257,257,0,256,0,256,http://192.168.152.24:8082,/request4,?t=253
Dec 01 2015 22:37:40,proxy-mpgw,86099,0,1155,0,10,10,5,0,1155,1169,1155,1169,1169,1164,1155,10,1155,http://192.168.152.24:8082,/request4,?t=1142
Dec 01 2015 22:37:41,proxy-mpgw,86147,0,1459,0,9,9,5,0,1459,1471,1459,1471,1471,1467,1459,9,1459,http://192.168.152.24:8082,/request5,?t=1447
Dec 01 2015 22:37:41,proxy-mpgw,86227,0,206,0,14,14,8,0,206,213,206,213,213,210,206,14,206,http://192.168.152.24:8082,/request3,?t=190
Dec 01 2015 22:37:41,proxy-mpgw,86211,0,1620,0,0,0,0,0,1621,1621,1621,1621,1621,0,1621,0,1620,http://192.168.152.24:8082,/request1,?t=1616
Dec 01 2015 22:37:41,proxy-mpgw,91458,0,1037,0,0,0,0,0,1037,1037,1037,1037,1037,0,1037,0,1037,http://192.168.152.24:8082,/request2,?t=1033
